بلدية,Municipalite,Code_Geo,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Estimations_préliminaires,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Prévisions_actuelles,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_ressources_réalisées,2017___Ressources_budgétaires_totales_du_conseil_municipal_X___de_réalisation,2017___Dépenses_totales_du_consel_municipal_x_Estimations_péliminaires,2017___Dépenses_totales_du_consel_municipal_x_Estimations_actuelles,2017___Dépenses_totales_du_conseil_municipal_X_dépenses_réalisées,2017___Dépenses_totales_du_conseil_municipal_X___de_réalisation,2017___Recettes___Dépenses,2017_____des_Dépenses_par_rapport_a_la_ressource,sheet_source,processed_date,fiscal_year,جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,0_4764
بلدية زغوان,Municipalite de Zaghouan,1611.0,5168133.0,7903297.0,5621199.0,71.12%,5168133.0,7903297.0,920631.0,11.65%,4700568.0,0.1637784038601017,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الزريبة,Municipalite de Zriba,1612.0,4692571.0,5470640.0,3427607.0,62.65%,4444379.0,5222449.0,1328692.0,25.44%,2098915.0,0.3876442077519388,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بير مشارقة,Municipalite de Bir Mchergua,1613.0,2500000.0,4152117.0,3029757.0,72.97%,2400886.0,4152117.0,820743.0,19.77%,2209014.0,0.2708940023902907,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية جبل الوسط,Municipalite de Djebel Elwest,1614.0,2127000.0,3474920.0,2343602.0,67.44%,1365346.0,3474920.0,267231.0,7.69%,2076371.0,0.11402576034668,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الفحص,Municipalite de Fahs,1615.0,3900000.0,6027614.0,4599731.0,76.31%,2961842.0,6027614.0,901994.0,14.96%,3697737.0,0.1960971195924283,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الناظور,Municipalite de Nadhour,1616.0,3168000.0,3961681.0,1678700.0,42.37%,2786208.0,3961681.0,739692.0,18.67%,939008.0,0.4406338237922201,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بنزرت,Municipalite de Bizerte,1711.0,19975314.0,21854630.0,13075839.0,59.83%,19975314.0,21854630.0,5544327.0,25.37%,7531512.0,0.4240130977446265,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سجنان,Municipalite de Sejnane,1712.0,1800000.0,1800000.0,709316.0,39.41%,1800000.0,1800000.0,437228.0,24.29%,272088.0,0.6164079197423997,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية ماطر,Municipalite de Mateur,1713.0,8526000.0,8526000.0,5186790.0,60.83%,8425247.0,8425247.0,1482988.0,17.6%,3703802.0,0.2859163374649832,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل بورقيبة,Municipalite de Menzel Bourguiba,1714.0,8657675.0,8670000.0,4283882.0,49.41%,8470394.0,8637218.0,2335017.0,27.03%,1948865.0,0.5450703357375389,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية تينجة,Municipalite de Tinja,1715.0,2614000.0,2620000.0,1243539.0,47.46%,2560617.0,2568117.0,135082.0,5.26%,1108457.0,0.108627071607726,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية غار الملح,Municipalite de Ghar Melh,1716.0,1266933.0,1273731.0,637051.0,50.01%,1259004.0,1265802.0,437371.0,34.55%,199680.0,0.6865557074708304,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية عوسجة,Municipalite de Aousja,1717.0,990685.0,992832.0,506112.0,50.98%,990685.0,992832.0,116559.0,11.74%,389553.0,0.2303027788315629,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل جميل,Municipalite de Menzel Jemil,1718.0,4251272.0,4255272.0,1319446.0,31.01%,4200170.0,4204170.0,547615.0,13.03%,771831.0,0.4150340370125037,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
